"No.","Time","Source","Destination","Protocol","Length","Info"
"102970","17601.18033651799","192.168.11.248","192.168.11.111","IEC 60870-5-104","481","-> S (15250)"
"102971","17601.37154998292","192.168.11.111","192.168.11.248","TCP","410","-> S (15250)"
"102972","17601.49612918048","192.168.11.248","192.168.11.111","IEC 60870-5-104","271","-> S (15250)"
"102973","17601.608786090364","192.168.11.111","192.168.11.248","TCP","329","-> S (15250)"
"102974","17601.659310139985","192.168.11.248","192.168.11.111","IEC 60870-5-104","127","-> S (15250)"
"102975","17601.950852926562","192.168.11.111","192.168.11.248","TCP","502","-> S (15250)"
"102976","17602.206845459456","192.168.11.248","192.168.11.111","IEC 60870-5-104","375","-> S (15250)"
"102977","17602.30420839389","192.168.11.111","192.168.11.248","TCP","347","-> S (15250)"
"102978","17602.31611209883","192.168.11.248","192.168.11.111","IEC 60870-5-104","311","-> S (15250)"
"102979","17602.376246648717","192.168.11.111","192.168.11.248","TCP","282","-> S (15250)"
"102980","17602.54914396537","192.168.11.248","192.168.11.111","IEC 60870-5-104","300","-> S (15250)"
"102981","17602.834665402333","192.168.11.111","192.168.11.248","TCP","697","-> S (15250)"
"102982","17603.25116602852","192.168.11.248","192.168.11.111","IEC 60870-5-104","144","-> S (15250)"
"102983","17603.672806564944","192.168.11.111","192.168.11.248","TCP","290","-> S (15250)"
"102984","17603.928126516646","192.168.11.248","192.168.11.111","IEC 60870-5-104","412","-> S (15250)"
"102985","17604.327161091755","192.168.11.111","192.168.11.248","TCP","565","-> S (15250)"
"102986","17604.41153560047","192.168.11.248","192.168.11.111","IEC 60870-5-104","77","-> S (15250)"
"102987","17604.649558498433","192.168.11.111","192.168.11.248","TCP","578","-> S (15250)"
"102988","17604.735108758872","192.168.11.248","192.168.11.111","IEC 60870-5-104","349","-> S (15250)"
"102989","17604.771616097856","192.168.11.111","192.168.11.248","TCP","787","-> S (15250)"
"102990","17604.928240041925","192.168.11.248","192.168.11.111","IEC 60870-5-104","211","-> S (15250)"
"102991","17605.199140311972","192.168.11.111","192.168.11.248","TCP","364","-> S (15250)"
"102992","17605.40052319336","192.168.11.248","192.168.11.111","IEC 60870-5-104","98","-> S (15250)"
"102993","17605.543154262985","192.168.11.111","192.168.11.248","TCP","486","-> S (15250)"
"102994","17605.65755994268","192.168.11.248","192.168.11.111","IEC 60870-5-104","430","-> S (15250)"
"102995","17605.93705466689","192.168.11.111","192.168.11.248","TCP","790","-> S (15250)"
"102996","17606.10628500614","192.168.11.248","192.168.11.111","IEC 60870-5-104","209","-> S (15250)"
"102997","17606.237327367857","192.168.11.111","192.168.11.248","TCP","307","-> S (15250)"
"102998","17606.43079153871","192.168.11.248","192.168.11.111","IEC 60870-5-104","194","-> S (15250)"
"102999","17606.79535238197","192.168.11.111","192.168.11.248","TCP","490","-> S (15250)"
"103000","17606.879192451393","192.168.11.248","192.168.11.111","IEC 60870-5-104","306","-> S (15250)"
"103001","17607.146524679592","192.168.11.111","192.168.11.248","TCP","814","-> S (15250)"
"103002","17607.147649313014","192.168.11.248","192.168.11.111","IEC 60870-5-104","333","-> S (15250)"
"103003","17607.467134455437","192.168.11.111","192.168.11.248","TCP","375","-> S (15250)"
"103004","17607.475397641807","192.168.11.248","192.168.11.111","IEC 60870-5-104","247","-> S (15250)"
"103005","17607.565136585086","192.168.11.111","192.168.11.248","TCP","300","-> S (15250)"
"103006","17607.61716666373","192.168.11.248","192.168.11.111","IEC 60870-5-104","333","-> S (15250)"
"103007","17607.94498123752","192.168.11.111","192.168.11.248","TCP","453","-> S (15250)"
"103008","17608.191306645025","192.168.11.248","192.168.11.111","IEC 60870-5-104","836","-> S (15250)"
"103009","17608.497107811716","192.168.11.111","192.168.11.248","TCP","264","-> S (15250)"
"103010","17608.616118434842","192.168.11.248","192.168.11.111","IEC 60870-5-104","301","-> S (15250)"
"103011","17608.756086092435","192.168.11.111","192.168.11.248","TCP","226","-> S (15250)"
"103012","17608.950677657373","192.168.11.248","192.168.11.111","IEC 60870-5-104","118","-> S (15250)"
"103013","17609.074053024797","192.168.11.111","192.168.11.248","TCP","561","-> S (15250)"
"103014","17609.204975429235","192.168.11.248","192.168.11.111","IEC 60870-5-104","732","-> S (15250)"
"103015","17609.379689264424","192.168.11.111","192.168.11.248","TCP","520","-> S (15250)"
"103016","17609.447718150917","192.168.11.248","192.168.11.111","IEC 60870-5-104","593","-> S (15250)"
"103017","17609.480136889928","192.168.11.111","192.168.11.248","TCP","429","-> S (15250)"
"103018","17609.484434652608","192.168.11.248","192.168.11.111","IEC 60870-5-104","82","-> S (15250)"
"103019","17609.788782181437","192.168.11.111","192.168.11.248","TCP","623","-> S (15250)"
"103020","17609.789146418378","192.168.11.248","192.168.11.111","IEC 60870-5-104","502","-> S (15250)"
"103021","17609.86815929898","192.168.11.111","192.168.11.248","TCP","901","-> S (15250)"
"103022","17610.232881033782","192.168.11.248","192.168.11.111","IEC 60870-5-104","150","-> S (15250)"
"103023","17610.28338718941","192.168.11.111","192.168.11.248","TCP","621","-> S (15250)"
"103024","17610.33283382872","192.168.11.248","192.168.11.111","IEC 60870-5-104","576","-> S (15250)"
"103025","17610.64784244623","192.168.11.111","192.168.11.248","TCP","238","-> S (15250)"
"103026","17610.916546972305","192.168.11.248","192.168.11.111","IEC 60870-5-104","172","-> S (15250)"
"103027","17611.018520984388","192.168.11.111","192.168.11.248","TCP","964","-> S (15250)"
"103028","17611.12450090509","192.168.11.248","192.168.11.111","IEC 60870-5-104","598","-> S (15250)"
"103029","17611.2119417381","192.168.11.111","192.168.11.248","TCP","944","-> S (15250)"
"103030","17611.292952168325","192.168.11.248","192.168.11.111","IEC 60870-5-104","687","-> S (15250)"
"103031","17611.356256227773","192.168.11.111","192.168.11.248","TCP","690","-> S (15250)"
"103032","17611.422525695714","192.168.11.248","192.168.11.111","IEC 60870-5-104","155","-> S (15250)"
"103033","17611.510108541424","192.168.11.111","192.168.11.248","TCP","394","-> S (15250)"
"103034","17611.7267290675","192.168.11.248","192.168.11.111","IEC 60870-5-104","697","-> S (15250)"
"103035","17611.727297055575","192.168.11.111","192.168.11.248","TCP","516","-> S (15250)"
"103036","17611.93481189409","192.168.11.248","192.168.11.111","IEC 60870-5-104","318","-> S (15250)"
"103037","17611.950986932785","192.168.11.111","192.168.11.248","TCP","594","-> S (15250)"
"103038","17612.252588850984","192.168.11.248","192.168.11.111","IEC 60870-5-104","252","-> S (15250)"
"103039","17612.348093055687","192.168.11.111","192.168.11.248","TCP","447","-> S (15250)"
"103040","17612.505900064996","192.168.11.248","192.168.11.111","IEC 60870-5-104","457","-> S (15250)"
