"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.11.111","192.168.11.248","IEC 60870-5 ASDU","73","<- I (1765,9643) ASDU=65535 F_SC_NA_1 File    IOA=65537"
"2","0.000595","192.168.11.248","192.168.11.111","IEC 60870-5 ASDU","75","-> I (9643,1766) ASDU=65535 F_FR_NA_1 File    IOA=65537"
"3","0.000714","192.168.11.111","192.168.11.248","IEC 60870-5 ASDU","73","<- I (1766,9644) ASDU=65535 F_SC_NA_1 File    IOA=65537"
"4","0.001052","192.168.11.248","192.168.11.111","IEC 60870-5 ASDU","76","-> I (9644,1767) ASDU=65535 F_SR_NA_1 File    IOA=65537"
"5","0.063226","192.168.11.111","192.168.11.248","IEC 60870-5 ASDU","73","<- I (1767,9645) ASDU=65535 F_SC_NA_1 File    IOA=65537"
"6","0.063997","192.168.11.248","192.168.11.111","IEC 60870-5 ASDU","590","-> I (9645,1768) ASDU=65535 F_SG_NA_1 File    IOA=65537 | -> I (9646,1768) ASDU=65535 F_SG_NA_1 File    IOA=65537"
"7","0.063998","192.168.11.248","192.168.11.111","IEC 60870-5 ASDU","87","-> I (9647,1768) ASDU=65535 F_SG_NA_1 File    IOA=65537"
"8","0.064099","192.168.11.111","192.168.11.248","TCP","54","49784  >  2404 [ACK] Seq=58 Ack=613 Win=65088 Len=0"
"9","0.064342","192.168.11.248","192.168.11.111","IEC 60870-5 ASDU","590","-> I (9648,1768) ASDU=65535 F_SG_NA_1 File    IOA=65537 | -> I (9649,1768) ASDU=65535 F_SG_NA_1 File    IOA=65537"
"10","0.064343","192.168.11.248","192.168.11.111","IEC 60870-5 ASDU","87","-> I (9650,1768) ASDU=65535 F_SG_NA_1 File    IOA=65537"
"11","0.064357","192.168.11.111","192.168.11.248","TCP","54","49784  >  2404 [ACK] Seq=58 Ack=1182 Win=64519 Len=0"
"12","0.064684","192.168.11.248","192.168.11.111","IEC 60870-5 ASDU","590","-> I (9651,1768) ASDU=65535 F_SG_NA_1 File    IOA=65537 | -> I (9652,1768) ASDU=65535 F_SG_NA_1 File    IOA=65537"
"13","0.065055","192.168.11.248","192.168.11.111","IEC 60870-5 ASDU","87","-> I (9653,1768) ASDU=65535 F_SG_NA_1 File    IOA=65537"
"14","0.065055","192.168.11.248","192.168.11.111","IEC 60870-5 ASDU","590","-> I (9654,1768) ASDU=65535 F_SG_NA_1 File    IOA=65537 | -> I (9655,1768) ASDU=65535 F_SG_NA_1 File    IOA=65537"
"15","0.065067","192.168.11.111","192.168.11.248","TCP","54","49784  >  2404 [ACK] Seq=58 Ack=2287 Win=65088 Len=0"
"16","0.065404","192.168.11.248","192.168.11.111","IEC 60870-5 ASDU","87","-> I (9656,1768) ASDU=65535 F_SG_NA_1 File    IOA=65537"
"17","0.065653","192.168.11.111","192.168.11.248","IEC 60870-5-104","60","<- S (9652) "
"18","0.066377","192.168.11.248","192.168.11.111","IEC 60870-5 ASDU","590","-> I (9657,1768) ASDU=65535 F_SG_NA_1 File    IOA=65537 | -> I (9658,1768) ASDU=65535 F_SG_NA_1 File    IOA=65537"
"19","0.066377","192.168.11.248","192.168.11.111","IEC 60870-5 ASDU","87","-> I (9659,1768) ASDU=65535 F_SG_NA_1 File    IOA=65537"
"20","0.066392","192.168.11.111","192.168.11.248","TCP","54","49784  >  2404 [ACK] Seq=64 Ack=2889 Win=65088 Len=0"
"21","0.066675","192.168.11.248","192.168.11.111","IEC 60870-5 ASDU","590","-> I (9660,1768) ASDU=65535 F_SG_NA_1 File    IOA=65537 | -> I (9661,1768) ASDU=65535 F_SG_NA_1 File    IOA=65537"
"22","0.066919","192.168.11.111","192.168.11.248","IEC 60870-5-104","60","<- S (9660) "
"23","0.067278","192.168.11.248","192.168.11.111","IEC 60870-5 ASDU","342","-> I (9662,1768) ASDU=65535 F_SG_NA_1 File    IOA=65537 | -> I (9663,1768) ASDU=65535 F_SG_NA_1 File    IOA=65537"
"24","0.067827","192.168.11.248","192.168.11.111","IEC 60870-5 ASDU","590","-> I (9664,1768) ASDU=65535 F_SG_NA_1 File    IOA=65537 | -> I (9665,1768) ASDU=65535 F_SG_NA_1 File    IOA=65537"
"25","0.067849","192.168.11.111","192.168.11.248","TCP","54","49784  >  2404 [ACK] Seq=70 Ack=4249 Win=65088 Len=0"
"26","0.068219","192.168.11.248","192.168.11.111","IEC 60870-5 ASDU","421","-> I (9666,1768) ASDU=65535 F_SG_NA_1 File    IOA=65537 | -> I (9667,1768) ASDU=65535 F_SG_NA_1 File    IOA=65537 | -> I (9668,1768) ASDU=65535 F_SG_NA_1 File    IOA=65537 | -> I (9669,1768) ASDU=65535 F_LS_NA_1 File    IOA=65537"
"27","0.069104","192.168.11.111","192.168.11.248","IEC 60870-5-104","60","<- S (9668) "
"28","0.069176","192.168.11.111","192.168.11.248","IEC 60870-5 ASDU","73","<- I (1768,9670) ASDU=65535 F_AF_NA_1 File    IOA=65537"
"29","0.069743","192.168.11.248","192.168.11.111","TCP","60","2404  >  49784 [ACK] Seq=4616 Ack=95 Win=4156 Len=0"
"30","0.069744","192.168.11.248","192.168.11.111","IEC 60870-5 ASDU","74","-> I (9670,1769) ASDU=65535 F_LS_NA_1 File    IOA=65537"
"31","0.069941","192.168.11.111","192.168.11.248","IEC 60870-5 ASDU","73","<- I (1769,9671) ASDU=65535 F_AF_NA_1 File    IOA=65537"
"32","0.070263","192.168.11.248","192.168.11.111","IEC 60870-5-104","60","-> S (1770) "
"33","0.280702","192.168.11.111","192.168.11.248","TCP","54","49784  >  2404 [ACK] Seq=114 Ack=4642 Win=64695 Len=0"
"35","0.421413","192.168.11.111","192.168.11.248","IEC 60870-5 ASDU","73","<- I (1770,9671) ASDU=65535 F_SC_NA_1 File    IOA=65537"
"36","0.421822","192.168.11.248","192.168.11.111","IEC 60870-5 ASDU","75","-> I (9671,1771) ASDU=65535 F_FR_NA_1 File    IOA=65537"
"37","0.422038","192.168.11.111","192.168.11.248","IEC 60870-5 ASDU","73","<- I (1771,9672) ASDU=65535 F_SC_NA_1 File    IOA=65537"
"38","0.422355","192.168.11.248","192.168.11.111","IEC 60870-5 ASDU","76","-> I (9672,1772) ASDU=65535 F_SR_NA_1 File    IOA=65537"
"39","0.484033","192.168.11.111","192.168.11.248","IEC 60870-5 ASDU","73","<- I (1772,9673) ASDU=65535 F_SC_NA_1 File    IOA=65537"
"40","0.484846","192.168.11.248","192.168.11.111","IEC 60870-5 ASDU","590","-> I (9673,1773) ASDU=65535 F_SG_NA_1 File    IOA=65537 | -> I (9674,1773) ASDU=65535 F_SG_NA_1 File    IOA=65537"
"41","0.484847","192.168.11.248","192.168.11.111","IEC 60870-5 ASDU","87","-> I (9675,1773) ASDU=65535 F_SG_NA_1 File    IOA=65537"
"42","0.484892","192.168.11.111","192.168.11.248","TCP","54","49784  >  2404 [ACK] Seq=171 Ack=5254 Win=65088 Len=0"
"43","0.485192","192.168.11.248","192.168.11.111","IEC 60870-5 ASDU","590","-> I (9676,1773) ASDU=65535 F_SG_NA_1 File    IOA=65537 | -> I (9677,1773) ASDU=65535 F_SG_NA_1 File    IOA=65537"
"44","0.485192","192.168.11.248","192.168.11.111","IEC 60870-5 ASDU","87","-> I (9678,1773) ASDU=65535 F_SG_NA_1 File    IOA=65537"
"45","0.485193","192.168.11.248","192.168.11.111","IEC 60870-5 ASDU","590","-> I (9679,1773) ASDU=65535 F_SG_NA_1 File    IOA=65537 | -> I (9680,1773) ASDU=65535 F_SG_NA_1 File    IOA=65537"
"46","0.485205","192.168.11.111","192.168.11.248","TCP","54","49784  >  2404 [ACK] Seq=171 Ack=6359 Win=65088 Len=0"
"47","0.485539","192.168.11.248","192.168.11.111","IEC 60870-5 ASDU","87","-> I (9681,1773) ASDU=65535 F_SG_NA_1 File    IOA=65537"
"48","0.486027","192.168.11.248","192.168.11.111","IEC 60870-5 ASDU","590","-> I (9682,1773) ASDU=65535 F_SG_NA_1 File    IOA=65537 | -> I (9683,1773) ASDU=65535 F_SG_NA_1 File    IOA=65537"
"49","0.486037","192.168.11.111","192.168.11.248","TCP","54","49784  >  2404 [ACK] Seq=171 Ack=6928 Win=64519 Len=0"
"50","0.486328","192.168.11.111","192.168.11.248","IEC 60870-5-104","60","<- S (9680) "
"51","0.486370","192.168.11.248","192.168.11.111","IEC 60870-5 ASDU","87","-> I (9684,1773) ASDU=65535 F_SG_NA_1 File    IOA=65537"
"52","0.487003","192.168.11.248","192.168.11.111","IEC 60870-5 ASDU","590","-> I (9685,1773) ASDU=65535 F_SG_NA_1 File    IOA=65537 | -> I (9686,1773) ASDU=65535 F_SG_NA_1 File    IOA=65537"
"53","0.487004","192.168.11.248","192.168.11.111","IEC 60870-5 ASDU","87","-> I (9687,1773) ASDU=65535 F_SG_NA_1 File    IOA=65537"
"54","0.487016","192.168.11.111","192.168.11.248","TCP","54","49784  >  2404 [ACK] Seq=177 Ack=7530 Win=65088 Len=0"
"55","0.487348","192.168.11.248","192.168.11.111","IEC 60870-5 ASDU","590","-> I (9688,1773) ASDU=65535 F_SG_NA_1 File    IOA=65537 | -> I (9689,1773) ASDU=65535 F_SG_NA_1 File    IOA=65537"
"56","0.487853","192.168.11.111","192.168.11.248","IEC 60870-5-104","60","<- S (9688) "
